Player,Position,AV,From,To,Notes
Jim Ward,QB,1,1967,1971,WardJi00
Jim Youel,QB-DB,,1946,1948,YoueJi20
Jim Zorn,QB,88,1976,1987,ZornJi00
Jimmy Clausen,QB,3,2010,2015,ClauJi00
Jimmy Garoppolo,QB,53,2014,2024,GaroJi00
Jimmy Jemail,QB,,1921,1921,JemaJi20
Jimmy Tarrant,QB,,1946,1946,TarrJi21
Joe Barnes,QB,0,1974,1974,BarnJo01
Joe Burrow,QB,63,2020,2024,BurrJo01
Joe Callahan,QB,0,2017,2017,CallJo00
Joe DiVito,QB-P,-1,1968,1968,DiviJo00
Joe Dufek,QB,-1,1983,1984,DufeJo00
Joe Ferguson,QB,106,1973,1990,FergJo00
Joe Flacco,QB,132,2008,2024,FlacJo00
Joe Francis,QB-HB,,1958,1959,FranJo20
Joe Gasparella,BB-QB,,1948,1951,GaspJo20
Joe Germaine,QB,1,1999,1999,GermJo00
Joe Gilliam,QB,11,1972,1975,GillJo00
Joe Hamilton,QB,0,2000,2000,HamiJo20
Joe Kapp,QB,24,1967,1970,KappJo00
Joe Margucci,HB-QB,,1947,1948,MargJo20
Joe Milton,QB,1,2024,2024,MiltJo00
Joe Montana+,QB,166,1979,1994,MontJo01
Joe Namath+,QB,115,1965,1977,NamaJo00
Joe Pisarcik,QB,18,1977,1984,PisaJo00
Joe Reed,QB,13,1972,1979,ReedJo00
Joe Shield,QB,0,1986,1986,ShieJo20
Joe Theismann,QB,107,1974,1985,TheiJo00
Joey Harrington,QB,34,2002,2007,HarrJo00
Joey Sternaman,QB-BB,,1922,1930,SterJo21
John Beck,QB,4,2007,2011,BeckJo00
John Borton,QB,,1957,1957,BortJo20
John Brodie,QB,129,1957,1973,BrodJo00
John Elway+,QB,206,1983,1998,ElwaJo00
John Fourcade,QB,11,1987,1990,FourJo00
John Friesz,QB,28,1990,2000,FrieJo00
John Galvin,QB,,1947,1947,GalvJo20
John Hadl,QB,146,1962,1977,HadlJo00
John Huarte,QB,1,1966,1972,HuarJo00
John Hufnagel,QB,2,1974,1975,HufnJo00
John Ksionzyk,QB,,1947,1947,KsioJo20
John McCarthy,QB,,1944,1944,McCaJo23
John McCormick,QB,1,1962,1968,McCoJo00
John Navarre,QB,0,2004,2005,NavaJo00
John Rauch,QB-DB,,1949,1951,RaucJo20
John Reaves,QB,11,1972,1987,ReavJo00
John Roach,QB-DB,12,1956,1964,RoacJo00
John Sciarra,DB-QB,8,1978,1983,SciaJo20
John Skelton,QB,4,2010,2012,SkelJo00
John Stofa,QB,5,1966,1970,StofJo00
John Walton,QB,1,1976,1979,WaltJo00
John Witkowski,QB,1,1984,1988,WitkJo00
John Wolford,QB,2,2020,2022,WolfJo00
Johnny Evans,P-QB,7,1978,1980,EvanJo21
Johnny Green,QB,11,1960,1963,GreeJo00
Johnny Long,QB-HB,,1944,1945,LongJo20
Johnny Lujack,QB-DB,,1948,1951,LujaJo00
Johnny Manziel,QB,4,2014,2015,ManzJo00
Johnny Unitas+,QB,145,1956,1973,UnitJo00
Jon Brittenum,QB,0,1968,1968,BritJo00
Jon Kitna,QB,90,1997,2011,KitnJo00
Jonathan Quinn,QB,4,1998,2004,QuinJo00
Jordan Love,QB,30,2021,2024,LoveJo03
Jordan Palmer,QB,0,2008,2014,PalmJo20
Josh Allen,QB,112,2018,2024,AlleJo02
Josh Freeman,QB,40,2009,2015,FreeJo00
Josh Johnson,QB,8,2009,2024,JohnJo05
Josh McCown,QB,47,2002,2019,McCoJo01
Josh Rosen,QB,3,2018,2021,RoseJo01
Joshua Dobbs,QB,9,2018,2024,DobbJo00
June Jones,QB,3,1977,1981,JoneJu00
Justin Fields,QB,41,2021,2024,FielJu00
Justin Herbert,QB,70,2020,2024,HerbJu00
Karl Sweetan,QB,9,1966,1970,SweeKa00
Kay Stephenson,QB,2,1967,1968,StepKa00
Keith Molesworth,HB-QB,,1931,1937,MoleKe20
Keith Null,QB,1,2009,2009,NullKe00
Kellen Clemens,QB,10,2006,2017,ClemKe00
Kellen Mond,QB,0,2021,2021,MondKe00
Kellen Moore,QB,2,2015,2015,MoorKe02
Kelly Holcomb,QB,16,1997,2007,HolcKe00
Kelly Stouffer,QB,2,1988,1992,StouKe00
Ken Anderson,QB,160,1971,1986,AndeKe00
Ken Casanega,QB-DB-HB,,1946,1948,CasaKe20
Ken Dorsey,QB,2,2004,2008,DorsKe00
Ken Holley,QB,,1946,1946,HollKe20
Ken Karcher,QB,2,1987,1988,KarcKe00
Ken O'Brien,QB,87,1984,1993,OBriKe00
Ken Reese,HB-QB,,1947,1947,ReesKe20
Ken Stabler+,QB,118,1970,1984,StabKe00
Ken Stofer,QB-DB,,1946,1946,StofKe20
Kenny Pickett,QB,14,2022,2024,PickKe00
Kent Austin,QB,0,1986,1986,AustKe20
Kent Graham,QB,23,1992,2001,GrahKe00
Kent Nix,QB,11,1967,1972,NixxKe00
Kerry Collins,QB,112,1995,2011,CollKe00
Kerwin Bell,QB,0,1996,1996,BellKe00
Kevin Hogan,QB,2,2016,2021,HogaKe00
Kevin Ingram,QB,0,1987,1987,IngrKe20
Kevin Kolb,QB,13,2007,2012,KolbKe00
Kevin O'Connell,QB,0,2008,2008,OConKe00
Kevin Sweeney,QB,2,1987,1988,SweeKe00
Kevin Thompson,QB,0,2000,2000,ThomKe00
Kim Hammond,QB,0,1968,1969,HammKi00
Kim McQuilken,QB,4,1974,1979,McQuKi00
King Corcoran,QB,0,1968,1968,CorcKi00
King Hill,QB,24,1958,1969,HillKi00
Kirk Cousins,QB,126,2012,2024,CousKi00
Kliff Kingsbury,QB,0,2005,2005,KingKl00
Kordell Stewart,QB,69,1995,2005,StewKo00
Koy Detmer,QB,4,1998,2006,DetmKo00
Kurt Benkert,QB,0,2021,2021,BenkKu01
Kurt Kittner,QB,1,2003,2003,KittKu00
Kurt Warner+,QB,113,1998,2009,WarnKu00
Kyle Allen,QB,11,2018,2024,AlleKy00
Kyle Boller,QB,17,2003,2011,BollKy00
Kyle Lauletta,QB,0,2018,2018,LaulKy00
Kyle Mackey,QB,3,1987,1989,MackKy00
Kyle Orton,QB,44,2005,2014,OrtoKy00
Kyle Trask,QB,0,2022,2024,TrasKy00
Kyler Murray,QB,77,2019,2024,MurrKy00
Lamar Jackson,QB,114,2018,2024,JackLa00
Lamar McHan,QB,9,1954,1963,McHaLa00
Landry Jones,QB,4,2015,2017,JoneLa02
Larry Cipa,QB,1,1974,1975,CipaLa00
Larry Lawrence,QB,1,1974,1976,LawrLa00
Larry Miller,QB,0,1987,1987,MillLa20
Larry Rakestraw,QB,3,1966,1968,RakeLa00
Larry Weldon,QB,,1944,1945,WeldLa20
Lee Grosscup,QB,3,1960,1962,GrosLe00
Len Dawson+,QB,143,1957,1975,DawsLe00
Leo Hart,QB,0,1971,1972,HartLe00
Levi Brown,QB,0,2010,2010,BrowLe00
Logan Thomas,QB/TE,16,2014,2023,ThomLo00
Logan Woodside,QB,0,2020,2023,WoodLo00
Loren Snyder,QB,0,1987,1987,SnydLo20
Lou Barle,HB-QB,,1938,1939,BarlLo20
Lou Mahrt,QB,,1926,1927,MahrLo20
Luke Falk,QB,1,2019,2019,FalkLu00
Luke McCown,QB,8,2004,2015,McCoLu00
Lynn Dickey,QB,80,1971,1985,DickLy00
M.C. Reynolds,QB,1,1958,1962,ReynM.00
Mac Jones,QB,28,2021,2024,JoneMa05
Malik Cunningham,QB,0,2023,2023,CunnMa00
Malik Willis,QB,4,2022,2024,WillMa12
Manch Wheeler,QB,0,1962,1962,WheeMa00
Marc Bulger,QB,64,2002,2009,BulgMa00
Marc Wilson,QB,41,1980,1990,WilsMa00
Marcus Mariota,QB,63,2015,2024,MariMa01
Marcus Vick,WR-QB,0,2006,2006,VickMa20
Mark Brunell,QB,120,1994,2011,BrunMa00
Mark Hartsell,QB,0,2000,2000,HartMa20
Mark Herrmann,QB,12,1982,1992,HerrMa00
Mark Malone,QB-WR,30,1980,1989,MaloMa00
Mark Manges,QB,0,1978,1978,MangMa20
Mark Miller,QB,1,1978,1979,MillMa00
Mark Miller,QB,0,1987,1987,MillMa20
Mark Reed,QB,0,1983,1983,ReedMa20
Mark Rypien,QB,60,1988,2001,RypiMa00
Mark Sanchez,QB,35,2009,2018,SancMa00
Mark Stevens,QB,1,1987,1987,StevMa20
Mark Vlasic,QB,3,1987,1991,VlasMa00
Marques Tuiasosopo,QB,1,2001,2008,TuiaMa00
Marty Domres,QB,21,1969,1977,DomrMa00
Marty Horn,QB,0,1987,1987,HornMa20
Mason Rudolph,QB,10,2019,2024,RudoMa00
Matt Barkley,QB,5,2013,2023,BarkMa00
Matt Blundin,QB,0,1993,1997,BlunMa00
Matt Cassel,QB,51,2005,2018,CassMa00
Matt Cavanaugh,QB,16,1979,1991,CavaMa00
Matt Flynn,QB,8,2008,2014,FlynMa00
Matt Gutierrez,QB,0,2007,2009,GutiMa00
Matt Hasselbeck,QB,110,1999,2015,HassMa00
Matt Kofler,QB,4,1982,1985,KoflMa00
Matt Leinart,QB,12,2006,2012,LeinMa00
Matt Lytle,QB,0,2000,2001,LytlMa00
Matt Mauck,QB,1,2005,2005,MaucMa00
Matt McGloin,QB,4,2013,2016,McGlMa01
Matt Moore,QB,21,2007,2019,MoorMa01
Matt Robinson,QB,12,1977,1982,RobiMa01
Matt Ryan,QB,210,2008,2022,RyanMa00
Matt Schaub,QB,79,2004,2020,SchaMa00
Matt Simms,QB,1,2013,2014,SimmMa00
Matt Stevens,QB,1,1987,1987,StevMa21
Matthew Stafford,QB,180,2009,2024,StafMa00
Maury Duncan,QB,,1954,1955,DuncMa20
Max Choboian,QB,3,1966,1966,ChobMa00
Max Hall,QB,1,2010,2010,HallMa00
Menz Lindsey,BB-QB,,1921,1921,LindMe20
Michael Bishop,QB,0,2000,2000,BishMi00
Michael Penix,QB,2,2024,2024,PeniMi00
Michael Vick,QB,112,2001,2015,VickMi00
Mickey Kobrosky,QB,,1937,1937,KobrMi20
Mickey Slaughter,QB,8,1963,1966,SlauMi00
Mike Boryla,QB,8,1974,1978,BoryMi00
Mike Buck,QB,2,1991,1995,BuckMi00
Mike Busch,QB,1,1987,1987,BuscMi20
Mike Cherry,QB,0,1997,1998,CherMi00
Mike Elkins,QB,0,1989,1989,ElkiMi00
Mike Ernst,QB,0,1972,1973,ErnsMi00
Mike Glennon,QB,8,2013,2021,GlenMi00
Mike Hohensee,QB,2,1987,1987,HoheMi20
Mike Hold,QB,1,1987,1987,HoldMi20
Mike Kafka,QB,0,2011,2011,KafkMi00
